trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
1,0.05345815,318,0.97319298,0.21547164,0.77503311,0.48586271,0.42559229,617,15146,3325
2,1.24606933,690,0.88978408,0.32364777,3.73202299,0.37223748,0.01917721,309,6917,2373
3,0.02632079,889,0.98655826,0.44197283,3.45087210,0.71228998,0.21431066,193,13069,6037
4,0.07069426,875,0.76361705,0.01899751,3.48649052,0.37078270,0.32258032,627,13396,5613
5,0.10096610,198,1.02876421,0.46200683,3.08250119,0.22796445,0.14640563,223,17178,4990
6,0.06510077,718,0.82164087,0.24148374,0.85411884,0.90002563,0.24178728,287,11214,3286
7,0.07244814,685,0.75458624,0.34852913,0.17676755,0.87627803,0.25774737,53,2101,3546
8,0.03703231,839,0.52783756,0.31123330,3.89097913,0.70546785,0.25788868,256,7403,4600
9,0.63114804,921,0.60733258,0.40241995,3.53190080,0.10890815,0.40198818,651,24824,2127
10,0.10689254,998,0.82341465,0.39217463,3.92207389,0.30004685,0.36116504,324,21942,3234
11,0.04899915,841,0.69809227,0.32160262,2.75011774,0.54082652,0.45044531,498,15813,2698
12,0.03168082,869,0.71186898,0.04626854,3.30055089,0.75539072,0.45932962,691,21397,5628
13,0.02183539,813,0.81642717,0.20548353,4.91984235,0.97956118,0.16812915,721,4550,2613
14,0.02952760,367,0.73726683,0.32503910,3.42857291,0.74422958,0.38759217,323,10394,6723
15,0.16246785,475,0.65679510,0.12325965,2.31523075,0.20873257,0.08164824,725,19851,6180
16,0.21494276,473,0.97606002,0.08470167,2.70760726,0.13621392,0.22952172,486,14541,6943
17,0.04156512,374,0.74127406,0.09763613,3.10138590,0.75495021,0.38186078,88,6759,4843
18,1.10465362,504,0.98378740,0.09162616,4.89128607,0.05113086,0.34120642,661,18326,2956
19,0.03474485,300,0.69470910,0.24276348,2.21227202,0.62471201,0.45047930,209,19310,7437
20,0.05878305,690,0.73295263,0.39112811,0.27543672,0.94573217,0.26230530,67,3517,5579
21,18.08729553,776,0.96870900,0.35393534,3.39389825,0.03935304,0.00608472,594,7590,4228
22,0.06647367,792,0.86596558,0.49882911,2.21553860,0.31774218,0.49342039,534,10196,3078
23,0.02421936,987,0.61153516,0.49233104,4.59412119,0.82829969,0.16187273,520,20226,3929
24,0.02522817,965,0.68920206,0.12965607,3.45793413,0.80096482,0.21269933,639,12432,6638
25,0.42834649,497,0.67822104,0.31893606,0.15340811,0.04386206,0.13027242,137,16881,4004
26,0.03970065,535,0.70223657,0.42056795,3.03869048,0.68310534,0.42030608,146,6826,3181
27,0.02082788,987,0.85116069,0.19121081,2.25794993,0.72469103,0.20717229,627,11061,5323
28,0.02478885,454,0.95575594,0.46632255,2.88958363,0.76896715,0.33749918,180,3067,6641
29,0.47756438,818,0.90164258,0.22799962,3.41223177,0.09734507,0.42426752,261,3983,2297
30,0.04261997,742,0.67186553,0.40921008,3.41926630,0.73639180,0.21536335,115,15804,6346
31,0.27367524,786,0.93704037,0.25445855,1.89259948,0.11583743,0.21765673,222,5547,6647
32,0.04179994,203,0.56165696,0.28449987,1.96584308,0.73188829,0.06741386,644,9309,6050
33,0.11963642,202,0.73715874,0.22353811,4.98528515,0.24148879,0.49747729,305,3258,7046
34,0.33481823,373,0.85175232,0.39198076,0.38158313,0.22603185,0.47960548,255,8507,3517
35,0.02037523,938,0.78551029,0.22117768,1.88301924,0.95553539,0.24931478,129,3194,5347
36,0.04718711,615,0.74682867,0.28029992,2.51756669,0.43678691,0.32991949,303,11596,3134
37,0.03504208,713,0.90405497,0.24770169,2.48388040,0.61703895,0.30719893,235,3672,3848
38,0.08277055,402,0.99606629,0.26328860,4.79654180,0.32002434,0.25964183,504,13983,4385
39,0.41712885,367,0.80866403,0.09946116,1.86382301,0.09353470,0.46272936,704,11062,6503
40,1.27969976,890,0.88023374,0.34104468,3.51810636,0.31778266,0.01087643,210,8837,2977
41,0.44484251,633,0.95282564,0.49401650,0.98982447,0.13686943,0.34088261,55,11950,5189
42,0.02047308,689,0.56261888,0.45919639,2.41214604,0.91147544,0.49749961,76,17479,6998
43,0.05323456,703,0.69305315,0.36781404,4.89150905,0.64705085,0.11313852,348,21325,6892
44,0.07050351,661,0.73007410,0.01689660,2.79740093,0.44935213,0.27141910,100,19174,2379
45,0.14671358,335,1.01034121,0.39618218,1.51535131,0.23409472,0.42862327,697,15475,6489
46,0.06915451,466,0.58590055,0.41564933,0.58803319,0.52115245,0.13067748,600,5680,2270
